"motif"	"motif length"	"p_value"
"169"	"SOX8"	16	0.140842585614121
"170"	"HOXA5"	8	0.161820835657061
"171"	"MEIS3"	8	0.161820835657061
"172"	"STAT3"	11	0.162698657001203
"173"	"POU3F4"	9	0.162698657001203
"174"	"POU5F1B"	9	0.162698657001203
"175"	"Dlx2"	8	0.162698657001203
"176"	"Sox5"	7	0.198856552893388
"177"	"LMX1A"	8	0.230474526137378
"178"	"LMX1B"	8	0.230474526137378
"179"	"Lhx4"	8	0.230474526137378
"180"	"Arnt"	6	0.237422633798799
"181"	"Mecom"	14	0.283740924332109
"182"	"Gfi1"	10	0.283740924332109
"183"	"Foxq1"	11	0.283740924332109
"184"	"RELA"	10	0.283740924332109
"185"	"Klf4"	10	0.283740924332109
"186"	"PpargRxra"	15	0.283740924332109
"187"	"ARNTHIF1A"	8	0.283740924332109
"188"	"FOS"	11	0.283740924332109
"189"	"FOSL1"	11	0.283740924332109
"190"	"JUN"	13	0.283740924332109
"191"	"JUND"	11	0.283740924332109
"192"	"MAFK"	15	0.283740924332109
"193"	"Myb"	10	0.283740924332109
"194"	"PAX5"	19	0.283740924332109
"195"	"STAT1"	11	0.283740924332109
"196"	"Bach1Mafk"	15	0.283740924332109
"197"	"Arid3b"	11	0.283740924332109
"198"	"NFAT5"	10	0.283740924332109
"199"	"NFATC1"	10	0.283740924332109
"200"	"NFATC3"	10	0.283740924332109
"201"	"Twist2"	10	0.283740924332109
"202"	"EHF"	12	0.283740924332109
"203"	"ELF3"	13	0.283740924332109
"204"	"ETV6"	10	0.283740924332109
"205"	"HNF1A"	15	0.283740924332109
"206"	"HNF1B"	13	0.283740924332109
"207"	"POU4F2"	16	0.283740924332109
"208"	"TBX2"	11	0.283740924332109
"209"	"TBX21"	10	0.283740924332109
"210"	"TFCP2"	10	0.283740924332109
"211"	"TFEB"	10	0.283740924332109
"212"	"ZIC1"	14	0.283740924332109
"213"	"ZIC3"	15	0.283740924332109
"214"	"RARAvar2"	17	0.283740924332109
"215"	"Klf12"	15	0.283740924332109
"216"	"ZIC4"	15	0.283740924332109
"217"	"ONECUT3"	14	0.283740924332109
"218"	"ELK3"	10	0.283740924332109
"219"	"ETV1"	10	0.283740924332109
"220"	"ETV4"	10	0.283740924332109
"221"	"EOMES"	13	0.283740924332109
"222"	"Atoh1"	10	0.283740924332109
"223"	"BHLHE40"	10	0.283740924332109
"224"	"BHLHE23"	12	0.283740924332109
